lon,lat,series_id,study_id,spatial_unit,variable,taxonname,species_code,site_number,unit,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
171.67,-43.15,seriesM01038_site001_speciesCELSPE_varialbe_flower_unit_% individuals reproducing,M01038,stand,flower,Celmisia spectabilis,CELSPE,001,% individuals reproducing,4727400,Celmisia spectabilis,NA,Celmisia,Asteraceae,Asterales,Magnoliopsida,NA,Plantae,species
171.67,-43.15,seriesM01038_site001_speciesCELVIS_varialbe_flower_unit_% individuals reproducing,M01038,stand,flower,Celmisia viscosa,CELVIS,001,% individuals reproducing,7598236,Celmisia viscosa,NA,NA,NA,NA,NA,NA,NA,NA
171.67,-43.15,seriesM01038_site001_speciesCHIMAC_varialbe_flower_unit_% individuals reproducing,M01038,stand,flower,Chionochloa macra,CHIMAC,001,% individuals reproducing,293383,Chionochloa macra,58215,Chionochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,species
171.67,-43.15,seriesM01038_site002_speciesCELLYA_varialbe_flower_unit_% individuals reproducing,M01038,stand,flower,Celmisia lyallii,CELLYA,002,% individuals reproducing,7051129,Celmisia lyallii,2591363,Celmisia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,species
174.97,-41.35,seriesM01039_site001_speciesNOTSPP_varialbe_seed_unit_seeds/m2,M01039,patch,seed,Nothofagus spp.,NOTSPP,001,seeds/m2,272015,Nothofagus spp.,26779,Nothofagus,Nothofagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
172.65,-41.92,seriesM01037_site001_speciesNOTSPP_varialbe_seed_unit_seeds/m2,M01037,stand,seed,Nothofagus spp.,NOTSPP,001,seeds/m2,272015,Nothofagus spp.,26779,Nothofagus,Nothofagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
172.86,-41.82,seriesM01037_site002_speciesNOTSPP_varialbe_seed_unit_seeds/m2,M01037,patch,seed,Nothofagus spp.,NOTSPP,002,seeds/m2,272015,Nothofagus spp.,26779,Nothofagus,Nothofagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
172.67,-41.92,seriesM01037_site004_speciesNOTSPP_varialbe_seed_unit_seeds/m2,M01037,patch,seed,Nothofagus spp.,NOTSPP,004,seeds/m2,272015,Nothofagus spp.,26779,Nothofagus,Nothofagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
9.07,50.47,seriesM00084_site001_speciesFAGSYL_varialbe_seed_unit_% individuals reproducing,M00084,super-region,seed,Fagus sylvatica,FAGSYL,001,% individuals reproducing,774712,Fagus sylvatica,28930,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
110.24,-1.24,seriesM00269_site001_speciesDIPSPP_varialbe_seed_unit_seeds/m2,M00269,region,seed,Dipterocarpaceae spp.,DIPSPP,001,seeds/m2,438195,Dipterocarpaceae spp.,40588,NA,Dipterocarpaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,family
19.14,50.3,seriesM00083_site001_speciesALNSPP_varialbe_pollen_unit_grains,M00083,region,pollen,Alnus spp.,ALNSPP,001,grains,791135,Alnus spp.,3515,Alnus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
-0.8,42.89,seriesM00097_site001_speciesABIALB_varialbe_seed_unit_seeds/m2,M00097,stand,seed,Abies alba,ABIALB,001,seeds/m2,887363,Abies alba,45372,Abies,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-0.8,42.87,seriesM00097_site002_speciesABIALB_varialbe_seed_unit_seeds/m2,M00097,stand,seed,Abies alba,ABIALB,002,seeds/m2,887363,Abies alba,45372,Abies,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-106.95,39.45,seriesM00003_site001_speciesASTMIC_varialbe_fruit_unit_fruits/plot,M00003,patch,fruit,Astragalus microcymbus,ASTMIC,001,fruits/plot,3924586,Astragalus microcymbus,NA,Astragalus,Fabaceae,Fabales,Magnoliopsida,NA,Plantae,species
-106.95,39.45,seriesM00003_site002_speciesASTMIC_varialbe_fruit_unit_fruits/plot,M00003,patch,fruit,Astragalus microcymbus,ASTMIC,002,fruits/plot,3924586,Astragalus microcymbus,NA,Astragalus,Fabaceae,Fabales,Magnoliopsida,NA,Plantae,species
-106.95,39.45,seriesM00003_site003_speciesASTMIC_varialbe_fruit_unit_fruits/plot,M00003,patch,fruit,Astragalus microcymbus,ASTMIC,003,fruits/plot,3924586,Astragalus microcymbus,NA,Astragalus,Fabaceae,Fabales,Magnoliopsida,NA,Plantae,species
