taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Taxidea taxus,Taxidea taxus,taxidea taxus,Taxidea taxus,FALSE,1,754612,FALSE,NA,1
Ursus americanus,Ursus americanus,ursus americanus,Ursus americanus,FALSE,1,872577,FALSE,NA,1
Ursus arctos,Ursus arctos,ursus arctos,Ursus arctos,FALSE,1,872567,FALSE,NA,1
Ursus maritimus,Ursus maritimus,ursus maritimus,Ursus maritimus,FALSE,1,10732,FALSE,NA,1
Castor canadensis,Castor canadensis,castor canadensis,Castor canadensis,FALSE,1,886085,FALSE,NA,1
Lynx rufus,Lynx rufus,lynx rufus,Lynx rufus,FALSE,1,507545,FALSE,NA,1
Canis latrans,Canis latrans,canis latrans,Canis latrans,FALSE,1,247331,FALSE,NA,1
Martes pennanti,Martes pennanti,martes pennanti,Martes pennanti,FALSE,1,4697,FALSE,NA,1
Alopex lagopus,Vulpes lagopus,alopex lagopus,Vulpes lagopus,FALSE,1,775766,TRUE,NA,1
Urocyon cinereoargenteus,Urocyon cinereoargenteus,urocyon cinereoargenteus,Urocyon cinereoargenteus,FALSE,1,685113,FALSE,NA,1
Vulpes fulva,Vulpes vulpes,vulpes fulva,Vulpes vulpes,TRUE,0.846153855,821964,FALSE,NA,1
Lynx canadensis,Lynx canadensis,lynx canadensis,Lynx canadensis,FALSE,1,507549,FALSE,NA,1
Martes americana,Martes americana,martes americana,Martes americana,FALSE,1,923116,FALSE,NA,1
Mustela vison,Neovison vison,mustela vison,Neovison vison,FALSE,1,310482,TRUE,NA,1
Puma concolor,Puma concolor,puma concolor,Puma concolor,FALSE,1,42307,FALSE,NA,1
Agonus cataphractus,Agonus cataphractus,agonus cataphractus,Agonus cataphractus,FALSE,1,143730,FALSE,NA,1
Alosa fallax,Alosa fallax,alosa fallax,Alosa fallax,FALSE,1,463982,FALSE,NA,1
Anguilla anguilla,Anguilla anguilla,anguilla anguilla,Anguilla anguilla,FALSE,1,854201,FALSE,NA,1
Aphia minuta,Aphia minuta,aphia minuta,Aphia minuta,FALSE,1,815600,FALSE,NA,1
Callionymus lyra,Callionymus lyra,callionymus lyra,Callionymus lyra,FALSE,1,795408,FALSE,NA,1
Ciliata mustela,Ciliata mustela,ciliata mustela,Ciliata mustela,FALSE,1,33200,FALSE,NA,1
Ciliata septentrionalis,Ciliata septentrionalis,ciliata septentrionalis,Ciliata septentrionalis,FALSE,1,789968,FALSE,NA,1
Conger conger,Conger conger,conger conger,Conger conger,FALSE,1,142596,FALSE,NA,1
Dicentrarchus labrax,Dicentrarchus labrax,dicentrarchus labrax,Dicentrarchus labrax,FALSE,1,3549,FALSE,NA,1
Entelurus aequoreus,Entelurus aequoreus,entelurus aequoreus,Entelurus aequoreus,FALSE,1,971459,FALSE,NA,1
Eutrigla gurnardus,Eutrigla gurnardus,eutrigla gurnardus,Eutrigla gurnardus,FALSE,1,697144,FALSE,NA,1
Gadus morhua,Gadus morhua,gadus morhua,Gadus morhua (species in domain Eukaryota),FALSE,1,114170,FALSE,NA,1
Limanda limanda,Limanda limanda,limanda limanda,Limanda limanda,FALSE,1,804463,FALSE,NA,1
Liparis liparis,Liparis liparis,liparis liparis,Liparis liparis,FALSE,1,566839,FALSE,NA,1
Liza ramada,Chelon ramada,liza ramada,Chelon ramada,FALSE,1,668241,TRUE,NA,1
Merlangius merlangus,Merlangius merlangus,merlangius merlangus,Merlangius merlangus,FALSE,1,635911,FALSE,NA,1
Merluccius merluccius,Merluccius merluccius,merluccius merluccius,Merluccius merluccius,FALSE,1,62642,FALSE,NA,1
Platichthys flesus,Platichthys flesus,platichthys flesus,Platichthys flesus,FALSE,1,408331,FALSE,NA,1
Pleuronectes platessa,Pleuronectes platessa,pleuronectes platessa,Pleuronectes platessa,FALSE,1,408337,FALSE,NA,1
Pollachius pollachius,Pollachius pollachius,pollachius pollachius,Pollachius pollachius,FALSE,1,1014047,FALSE,NA,1
Pomatoschistus minutus,Pomatoschistus minutus,pomatoschistus minutus,Pomatoschistus minutus,FALSE,1,1048873,FALSE,NA,1
Raja clevata,Raja clavata,raja clevata,Raja clavata,TRUE,0.916666687,493424,FALSE,NA,1
Solea solea,Solea solea,solea solea,Solea solea,FALSE,1,710233,FALSE,NA,1
Sprattus sprattus,Sprattus sprattus,sprattus sprattus,Sprattus sprattus,FALSE,1,25768,FALSE,NA,1
