mainid,datasourceid,locationid,taxonname,lon,lat,reference,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
64,13,18,Corvus corone,-5.15,51.7,"Oikos, 41:378-384",711844,Corvus corone,30422,Corvus,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
65,13,18,Prunella modularis,-5.15,51.7,"Oikos, 41:378-384",875990,Prunella modularis,181117,Prunella,Prunellidae,Passeriformes,Aves,Chordata,Metazoa,species
66,13,18,Corvus corax,-5.15,51.7,"Oikos, 41:378-384",140425,Corvus corax,56781,Corvus,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
67,13,18,Emberiza schoeniclus,-5.15,51.7,"Oikos, 41:378-384",711856,Emberiza schoeniclus,30425,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
69,12,19,Taxidea taxus,-115,55,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
70,12,20,Taxidea taxus,-125,55,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
71,12,21,Taxidea taxus,-98,55,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
72,12,29,Taxidea taxus,-104,55,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
73,12,80,Taxidea taxus,-98,60,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
74,12,35,Taxidea taxus,-119,37,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
75,12,36,Taxidea taxus,-116,38,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
76,12,41,Taxidea taxus,-114,44,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
77,12,43,Taxidea taxus,-86,40,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
78,12,44,Taxidea taxus,-94,42,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
79,12,45,Taxidea taxus,-97,39,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
80,12,51,Taxidea taxus,-85,44,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
81,12,52,Taxidea taxus,-95,46,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
82,12,54,Taxidea taxus,-98,38,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
83,12,55,Taxidea taxus,-110,47,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
84,12,56,Taxidea taxus,-110,42,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
85,12,57,Taxidea taxus,-113,39,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
86,12,60,Taxidea taxus,-114,34,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
87,12,63,Taxidea taxus,-100,47,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
88,12,64,Taxidea taxus,-83,40,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
89,12,65,Taxidea taxus,-97,36,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
90,12,66,Taxidea taxus,-120,44,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
91,12,70,Taxidea taxus,-100,44,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
92,12,72,Taxidea taxus,-99,32,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
93,12,76,Taxidea taxus,-120,48,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
94,12,78,Taxidea taxus,-90,44,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
95,12,79,Taxidea taxus,-108,43,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
96,12,80,Taxidea taxus,-98,60,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
97,12,81,Taxidea taxus,-95,40,"Ontario Trappers Association, Ontario",754612,Taxidea taxus,30554,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
98,12,19,Ursus americanus,-115,55,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
99,12,20,Ursus americanus,-125,55,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
100,12,21,Ursus americanus,-98,55,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
101,12,22,Ursus americanus,-67,47,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
102,12,23,Ursus americanus,-53,48,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
103,12,24,Ursus americanus,-100,67,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
104,12,25,Ursus americanus,-63,45,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
105,12,26,Ursus americanus,-88,52,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
106,12,28,Ursus americanus,-73,52,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
107,12,29,Ursus americanus,-104,55,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
108,12,30,Ursus americanus,-155,65,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
109,12,80,Ursus americanus,-98,60,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
110,12,33,Ursus americanus,-112,34,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
111,12,35,Ursus americanus,-119,37,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
