mainid,datasourceid,locationid,taxonname,lon,lat,reference,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
1295,22,103,Erithacus rubecula,-0.85,53.3,Private data,507122,Erithacus rubecula,37610,Erithacus,Turdidae,Passeriformes,Aves,Chordata,Metazoa,species
1296,22,103,Sylvia atricapilla,-0.85,53.3,Private data,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1297,22,104,Acrocephalus schoenobaenus,-0.716666667,51.75,Private data,1071378,Acrocephalus schoenobaenus,52609,Acrocephalus,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1298,22,104,Acrocephalus scirpaceus,-0.716666667,51.75,Private data,726310,Acrocephalus scirpaceus,48156,Acrocephalus,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1299,22,104,Phylloscopus collybita,-0.716666667,51.75,Private data,726307,Phylloscopus collybita,48150,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1300,22,104,Emberiza schoeniclus,-0.716666667,51.75,Private data,711856,Emberiza schoeniclus,30425,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1301,22,105,Erithacus rubecula,-2.183333333,51.18333333,Private data,507122,Erithacus rubecula,37610,Erithacus,Turdidae,Passeriformes,Aves,Chordata,Metazoa,species
1302,22,105,Turdus merula,-2.183333333,51.18333333,Private data,568572,Turdus merula,9187,Turdus,Turdidae,Passeriformes,Aves,Chordata,Metazoa,species
1303,22,105,Sylvia borin,-2.183333333,51.18333333,Private data,261410,Sylvia borin,73324,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1304,22,105,Sylvia atricapilla,-2.183333333,51.18333333,Private data,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1305,22,105,Phylloscopus collybita,-2.183333333,51.18333333,Private data,726307,Phylloscopus collybita,48150,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1306,22,105,Aegithalos caudatus,-2.183333333,51.18333333,Private data,467867,Aegithalos caudatus,73327,Aegithalos,Aegithalidae,Passeriformes,Aves,Chordata,Metazoa,species
1307,22,105,Parus caeruleus,-2.183333333,51.18333333,Private data,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1308,22,105,Parus major,-2.183333333,51.18333333,Private data,515143,Parus major,9157,Parus,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1309,22,105,Pyrrhula pyrrhula,-2.183333333,51.18333333,Private data,1083726,Pyrrhula pyrrhula,37607,Pyrrhula,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1314,24,106,Vulpes vulpes,13.5,66,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821964,Vulpes vulpes,9627,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1315,24,107,Vulpes vulpes,9,61,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821964,Vulpes vulpes,9627,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1316,24,108,Vulpes vulpes,13.5,66,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821964,Vulpes vulpes,9627,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1317,24,109,Vulpes vulpes,22.5,70,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821964,Vulpes vulpes,9627,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1318,24,110,Vulpes,-59.16666667,55,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1319,24,111,Vulpes,-60.16666667,55.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1320,24,112,Vulpes,-65,54,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1321,24,113,Vulpes,-61.75,56.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1322,24,114,Vulpes,-62,57.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1323,24,115,Vulpes,-65,54,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1324,24,116,Vulpes,-62.5,58.08333333,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1325,24,111,Martes americana,-60.16666667,55.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1326,24,110,Martes americana,-59.16666667,55,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1327,24,112,Martes americana,-65,54,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1328,24,113,Martes americana,-61.75,56.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1329,24,114,Martes americana,-62,57.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1330,24,116,Martes americana,-62.5,58.08333333,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",923116,Martes americana,9660,Martes,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,species
1331,24,117,Vulpes,-60.75,55.83333333,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1333,24,118,Alopex lagopus,-67,58,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1334,24,118,Vulpes,-67,58,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",821970,Vulpes,9625,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1335,24,110,Alopex lagopus,-59.16666667,55,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1336,24,111,Alopex lagopus,-60.16666667,55.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1337,24,113,Alopex lagopus,-61.75,56.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1338,24,112,Alopex lagopus,-65,54,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1339,24,114,Alopex lagopus,-62,57.5,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1340,24,116,Alopex lagopus,-62.5,58.08333333,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1341,24,115,Alopex lagopus,-65,54,"Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.",775766,Vulpes lagopus,494514,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Metazoa,species
1342,31,125,Lepus timidus,-3.133333333,57.41666667,"Journal of Animal Ecology, 34:587-600",167565,Lepus timidus,62621,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1343,31,122,Lepus timidus,-3.133333333,57.41666667,"Journal of Animal Ecology, 34:587-600",167565,Lepus timidus,62621,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1345,32,123,Parus major,-2.583333333,51.75,"Journal of Animal Ecology, 34:601-47",515143,Parus major,9157,Parus,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1346,32,343,Parus major,5.833333333,52.16666667,"Journal of Animal Ecology, 34:601-47",515143,Parus major,9157,Parus,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1347,34,140,Grus americana,-97,27.83333333,"Ecology, 68:1401-11",414356,Grus americana,9117,Grus,Gruidae,Gruiformes,Aves,Chordata,Metazoa,species
1348,33,126,Oryctolagus cuniculus,-1.5,54,"Journal of Animal Ecology, 3:231-49",864596,Oryctolagus cuniculus,9986,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1349,33,127,Oryctolagus cuniculus,1.333333333,52.75,"Journal of Animal Ecology, 3:231-49",864596,Oryctolagus cuniculus,9986,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1350,33,128,Oryctolagus cuniculus,1.333333333,52.75,"Journal of Animal Ecology, 3:231-49",864596,Oryctolagus cuniculus,9986,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1351,33,129,Oryctolagus cuniculus,-0.166666667,51.83333333,"Journal of Animal Ecology, 3:231-49",864596,Oryctolagus cuniculus,9986,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1352,33,130,Lepus europaeus,-1.5,54,"Journal of Animal Ecology, 3:231-49",864607,Lepus europaeus,9983,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1353,33,128,Lepus europaeus,1.333333333,52.75,"Journal of Animal Ecology, 3:231-49",864607,Lepus europaeus,9983,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1354,33,131,Lepus timidus,-3.5,56.33333333,"Journal of Animal Ecology, 3:231-49",167565,Lepus timidus,62621,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1355,33,129,Lepus europaeus,-0.166666667,51.83333333,"Journal of Animal Ecology, 3:231-49",864607,Lepus europaeus,9983,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,species
1356,33,127,Perdix perdix,1.333333333,52.75,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1357,33,130,Perdix perdix,-1.5,54,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1358,33,128,Perdix perdix,1.333333333,52.75,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1359,33,129,Perdix perdix,-0.166666667,51.83333333,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1360,33,132,Perdix perdix,1.333333333,52.16666667,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1361,33,133,Perdix perdix,-5.083333333,55.75,"Journal of Animal Ecology, 3:231-49",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1362,33,134,Lagopus lagopus scoticus,-3,54.66666667,"Journal of Animal Ecology, 3:231-49",1004888,Lagopus lagopus scotica,359986,Lagopus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1363,33,135,Lagopus lagopus scoticus,-2.083333333,57.16666667,"Journal of Animal Ecology, 3:231-49",1004888,Lagopus lagopus scotica,359986,Lagopus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1364,33,136,Lagopus lagopus scoticus,-4.416666667,55.66666667,"Journal of Animal Ecology, 3:231-49",1004888,Lagopus lagopus scotica,359986,Lagopus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1365,33,133,Lagopus lagopus scoticus,-5.083333333,55.75,"Journal of Animal Ecology, 3:231-49",1004888,Lagopus lagopus scotica,359986,Lagopus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1366,33,133,Tetrao tetrix,-5.083333333,55.75,"Journal of Animal Ecology, 3:231-49",725154,Lyrurus tetrix,1233216,Lyrurus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1367,33,137,Scolopax rusticola,-0.166666667,51,"Journal of Animal Ecology, 3:231-49",1010551,Scolopax rusticola,100826,Scolopax,Scolopacidae,Charadriiformes,Aves,Chordata,Metazoa,species
1368,33,138,Mustela,-3.5,56.33333333,"Journal of Animal Ecology, 3:231-49",923108,Mustela,9665,Mustela,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1369,33,139,Mustela,-1.583333333,50.83333333,"Journal of Animal Ecology, 3:231-49",923108,Mustela,9665,Mustela,Mustelidae,Carnivora,Mammalia,Chordata,Metazoa,genus
1370,38,10737,Perdix perdix,1.333333333,52.75,"Journal of Animal Ecology, 5:252-261",102712,Perdix perdix,9052,Perdix,Phasianidae,Galliformes,Aves,Chordata,Metazoa,species
1377,36,142,Parus atricapillus,-73.2,41.7,"Ecology, 66:1195-1203",17262,Poecile atricapillus,48891,Poecile,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1378,35,141,Ursus arctos,-110.2833333,44.5,"Ecology, 66:323-334",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
1379,35,141,Ursus arctos,-110.2833333,44.5,"Ecology, 66:323-334",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
1380,37,146,Dipodomys spectabilis,-109.1666667,31.83333333,"Oikos, 59:290-302",748116,Dipodomys spectabilis,105255,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1381,37,146,Dipodomys ordii,-109.1666667,31.83333333,"Oikos, 59:290-302",917328,Dipodomys ordii,10020,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1382,37,146,Dipodomys merriami,-109.1666667,31.83333333,"Oikos, 59:290-302",37456,Dipodomys merriami,94247,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1383,37,146,Chaetodipus penicillatus,-109.1666667,31.83333333,"Oikos, 59:290-302",1004164,Chaetodipus penicillatus,38672,Chaetodipus,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1384,37,146,Perognathus flavus,-109.1666667,31.83333333,"Oikos, 59:290-302",1024543,Perognathus flavus,37443,Perognathus,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1385,37,146,Peromyscus eremicus,-109.1666667,31.83333333,"Oikos, 59:290-302",576102,Peromyscus eremicus,42410,Peromyscus,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1386,37,146,Peromyscus maniculatus,-109.1666667,31.83333333,"Oikos, 59:290-302",377525,Peromyscus maniculatus,10042,Peromyscus,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1387,37,146,Reithrodontomys megalotis,-109.1666667,31.83333333,"Oikos, 59:290-302",732037,Reithrodontomys megalotis,44234,Reithrodontomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1388,37,146,Neotoma albigula,-109.1666667,31.83333333,"Oikos, 59:290-302",156843,Neotoma albigula,42408,Neotoma,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1389,37,146,Onychomys leucogaster,-109.1666667,31.83333333,"Oikos, 59:290-302",427266,Onychomys leucogaster,38668,Onychomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1390,37,146,Onychomys torridus,-109.1666667,31.83333333,"Oikos, 59:290-302",1004154,Onychomys torridus,38674,Onychomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1391,37,146,Dipodomys spectabilis,-109.1666667,31.83333333,"Oikos, 59:290-302",748116,Dipodomys spectabilis,105255,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1392,37,146,Dipodomys ordii,-109.1666667,31.83333333,"Oikos, 59:290-302",917328,Dipodomys ordii,10020,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1393,37,146,Dipodomys merriami,-109.1666667,31.83333333,"Oikos, 59:290-302",37456,Dipodomys merriami,94247,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1394,37,146,Chaetodipus penicillatus,-109.1666667,31.83333333,"Oikos, 59:290-302",1004164,Chaetodipus penicillatus,38672,Chaetodipus,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1395,37,146,Perognathus flavus,-109.1666667,31.83333333,"Oikos, 59:290-302",1024543,Perognathus flavus,37443,Perognathus,Heteromyidae,Rodentia,Mammalia,Chordata,Metazoa,species
1396,37,146,Peromyscus eremicus,-109.1666667,31.83333333,"Oikos, 59:290-302",576102,Peromyscus eremicus,42410,Peromyscus,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1397,37,146,Peromyscus maniculatus,-109.1666667,31.83333333,"Oikos, 59:290-302",377525,Peromyscus maniculatus,10042,Peromyscus,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1398,37,146,Reithrodontomys megalotis,-109.1666667,31.83333333,"Oikos, 59:290-302",732037,Reithrodontomys megalotis,44234,Reithrodontomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1399,37,146,Neotoma albigula,-109.1666667,31.83333333,"Oikos, 59:290-302",156843,Neotoma albigula,42408,Neotoma,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1400,37,146,Onychomys leucogaster,-109.1666667,31.83333333,"Oikos, 59:290-302",427266,Onychomys leucogaster,38668,Onychomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1401,37,146,Onychomys torridus,-109.1666667,31.83333333,"Oikos, 59:290-302",1004154,Onychomys torridus,38674,Onychomys,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1402,30,121,Microtus montanus,-110.8333333,43.83333333,"Canadian Journal of Zoology, 66:2128 - 2132",1035816,Microtus montanus,88450,Microtus,Cricetidae,Rodentia,Mammalia,Chordata,Metazoa,species
1403,39,148,Ardea cinerea,-2.5,51.5,"The Natural Regulation of Animal Numbers - Oxford, Claredon Press 1954",119222,Ardea cinerea,30390,Ardea,Ardeidae,Pelecaniformes,Aves,Chordata,Metazoa,species
1404,39,149,Ardea cinerea,-2.5,53.5,"The Natural Regulation of Animal Numbers - Oxford, Claredon Press 1954",119222,Ardea cinerea,30390,Ardea,Ardeidae,Pelecaniformes,Aves,Chordata,Metazoa,species
1405,39,151,Ciconia ciconia,8.216666667,53.13333333,"The Natural Regulation of Animal Numbers - Oxford, Claredon Press 1954",363031,Ciconia ciconia,8928,Ciconia,Ciconiidae,Ciconiiformes,Aves,Chordata,Metazoa,species
1406,39,150,Ciconia ciconia,21.8,54.6,"The Natural Regulation of Animal Numbers - Oxford, Claredon Press 1954",363031,Ciconia ciconia,8928,Ciconia,Ciconiidae,Ciconiiformes,Aves,Chordata,Metazoa,species
1407,49,179,Streptopelia decaocto,-0.5,53.33333333,Refer BTO,277818,Streptopelia decaocto,177147,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Metazoa,species
1408,49,179,Pica pica,-0.5,53.33333333,Refer BTO,776471,Pica pica,34924,Pica,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
1409,49,179,Parus caeruleus,-0.5,53.33333333,Refer BTO,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1410,49,179,Troglodytes troglodytes,-0.5,53.33333333,Refer BTO,259813,Troglodytes troglodytes,36278,Troglodytes,Certhiidae,Passeriformes,Aves,Chordata,Metazoa,species
1411,49,179,Sylvia atricapilla,-0.5,53.33333333,Refer BTO,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1412,49,179,Sylvia communis,-0.5,53.33333333,Refer BTO,862895,Sylvia communis,216193,Curruca,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1413,49,179,Phylloscopus trochilus,-0.5,53.33333333,Refer BTO,96282,Phylloscopus trochilus,9182,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1414,49,179,Muscicapa striata,-0.5,53.33333333,Refer BTO,116518,Muscicapa striata,1293958,Muscicapa,Muscicapidae,Passeriformes,Aves,Chordata,Metazoa,species
1415,49,179,Sturnus vulgaris,-0.5,53.33333333,Refer BTO,565813,Sturnus vulgaris,9172,Sturnus,Sturnidae,Passeriformes,Aves,Chordata,Metazoa,species
1416,49,179,Emberiza citrinella,-0.5,53.33333333,Refer BTO,828708,Emberiza citrinella,37595,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1417,49,187,Streptopelia decaocto,-2.166666667,53.5,Refer BTO,277818,Streptopelia decaocto,177147,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Metazoa,species
1418,49,187,Parus caeruleus,-2.166666667,53.5,Refer BTO,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1419,49,187,Troglodytes troglodytes,-2.166666667,53.5,Refer BTO,259813,Troglodytes troglodytes,36278,Troglodytes,Certhiidae,Passeriformes,Aves,Chordata,Metazoa,species
1420,49,187,Sylvia atricapilla,-2.166666667,53.5,Refer BTO,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1421,49,187,Sylvia communis,-2.166666667,53.5,Refer BTO,862895,Sylvia communis,216193,Curruca,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1422,49,187,Phylloscopus trochilus,-2.166666667,53.5,Refer BTO,96282,Phylloscopus trochilus,9182,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1423,49,187,Muscicapa striata,-2.166666667,53.5,Refer BTO,116518,Muscicapa striata,1293958,Muscicapa,Muscicapidae,Passeriformes,Aves,Chordata,Metazoa,species
1424,49,187,Emberiza citrinella,-2.166666667,53.5,Refer BTO,828708,Emberiza citrinella,37595,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1425,49,186,Streptopelia decaocto,-2.666666667,52.66666667,Refer BTO,277818,Streptopelia decaocto,177147,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Metazoa,species
1426,49,186,Pica pica,-2.666666667,52.66666667,Refer BTO,776471,Pica pica,34924,Pica,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
1427,49,186,Parus caeruleus,-2.666666667,52.66666667,Refer BTO,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1428,49,186,Troglodytes troglodytes,-2.666666667,52.66666667,Refer BTO,259813,Troglodytes troglodytes,36278,Troglodytes,Certhiidae,Passeriformes,Aves,Chordata,Metazoa,species
1429,49,186,Sylvia atricapilla,-2.666666667,52.66666667,Refer BTO,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1430,49,186,Sylvia communis,-2.666666667,52.66666667,Refer BTO,862895,Sylvia communis,216193,Curruca,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1431,49,186,Phylloscopus trochilus,-2.666666667,52.66666667,Refer BTO,96282,Phylloscopus trochilus,9182,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1432,49,186,Muscicapa striata,-2.666666667,52.66666667,Refer BTO,116518,Muscicapa striata,1293958,Muscicapa,Muscicapidae,Passeriformes,Aves,Chordata,Metazoa,species
1433,49,186,Sturnus vulgaris,-2.666666667,52.66666667,Refer BTO,565813,Sturnus vulgaris,9172,Sturnus,Sturnidae,Passeriformes,Aves,Chordata,Metazoa,species
1434,49,186,Emberiza citrinella,-2.666666667,52.66666667,Refer BTO,828708,Emberiza citrinella,37595,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1435,49,185,Streptopelia decaocto,-1.333333333,51.91666667,Refer BTO,277818,Streptopelia decaocto,177147,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Metazoa,species
1436,49,185,Pica pica,-1.333333333,51.91666667,Refer BTO,776471,Pica pica,34924,Pica,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
1437,49,185,Parus caeruleus,-1.333333333,51.91666667,Refer BTO,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
1438,49,185,Troglodytes troglodytes,-1.333333333,51.91666667,Refer BTO,259813,Troglodytes troglodytes,36278,Troglodytes,Certhiidae,Passeriformes,Aves,Chordata,Metazoa,species
1439,49,185,Sylvia atricapilla,-1.333333333,51.91666667,Refer BTO,726312,Sylvia atricapilla,48155,Sylvia,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1440,49,185,Sylvia communis,-1.333333333,51.91666667,Refer BTO,862895,Sylvia communis,216193,Curruca,Sylviidae,Passeriformes,Aves,Chordata,Metazoa,species
1441,49,185,Phylloscopus trochilus,-1.333333333,51.91666667,Refer BTO,96282,Phylloscopus trochilus,9182,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,Metazoa,species
1442,49,185,Muscicapa striata,-1.333333333,51.91666667,Refer BTO,116518,Muscicapa striata,1293958,Muscicapa,Muscicapidae,Passeriformes,Aves,Chordata,Metazoa,species
1443,49,185,Sturnus vulgaris,-1.333333333,51.91666667,Refer BTO,565813,Sturnus vulgaris,9172,Sturnus,Sturnidae,Passeriformes,Aves,Chordata,Metazoa,species
1444,49,185,Emberiza citrinella,-1.333333333,51.91666667,Refer BTO,828708,Emberiza citrinella,37595,Emberiza,Fringillidae,Passeriformes,Aves,Chordata,Metazoa,species
1445,49,178,Streptopelia decaocto,-1.166666667,52.75,Refer BTO,277818,Streptopelia decaocto,177147,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Metazoa,species
1446,49,178,Pica pica,-1.166666667,52.75,Refer BTO,776471,Pica pica,34924,Pica,Corvidae,Passeriformes,Aves,Chordata,Metazoa,species
1447,49,178,Parus caeruleus,-1.166666667,52.75,Refer BTO,746120,Cyanistes caeruleus,156563,Cyanistes,Paridae,Passeriformes,Aves,Chordata,Metazoa,species
