species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Pouteria stipitata,Pouteria stipitata,pouteria stipitata,Pouteria stipitata,FALSE,1,972693,FALSE,,1
Prestonia portobellensis,Prestonia portobellensis,prestonia portobellensis,Prestonia portobellensis,FALSE,1,466124,FALSE,,1
Prionostemma aspera,Prionostemma asperum,prionostemma aspera,Prionostemma asperum,FALSE,1,255878,TRUE,,1
Prioria copaifera,Prioria copaifera,prioria copaifera,Prioria copaifera,FALSE,1,370947,FALSE,,1
Protium panamense,Protium panamense,protium panamense,Protium panamense,FALSE,1,651367,FALSE,,1
Protium picramnioides,Tetragastris panamensis,protium picramnioides,Tetragastris panamensis,FALSE,1,266961,TRUE,,1
Protium tenuifolium,Protium tenuifolium,protium tenuifolium,Protium tenuifolium,FALSE,1,799803,FALSE,,1
Pseudobombax septenatum,Pseudobombax septenatum,pseudobombax septenatum,Pseudobombax septenatum,FALSE,1,651365,FALSE,,1
Psidium friedrichsthalianum,Psidium friedrichsthalianum,psidium friedrichsthalianum,Psidium friedrichsthalianum,FALSE,1,651363,FALSE,,1
Psychotria chagrensis,Psychotria chagrensis,psychotria chagrensis,Psychotria chagrensis,FALSE,1,205706,FALSE,,1
Psychotria deflexa,Psychotria deflexa,psychotria deflexa,Psychotria deflexa,FALSE,1,212260,FALSE,,1
Psychotria grandis,Psychotria grandis,psychotria grandis,Psychotria grandis,FALSE,1,565022,FALSE,,1
Psychotria hoffmannseggiana,Psychotria hoffmannseggiana,psychotria hoffmannseggiana,Psychotria hoffmannseggiana,FALSE,1,231065,FALSE,,1
Psychotria horizontalis,Psychotria horizontalis,psychotria horizontalis,Psychotria horizontalis,FALSE,1,205720,FALSE,,2
Psychotria limonensis,Psychotria limonensis,psychotria limonensis,Psychotria limonensis,FALSE,1,1033174,FALSE,,1
Psychotria marginata,Psychotria marginata,psychotria marginata,Psychotria marginata,FALSE,1,1033192,FALSE,,1
Psychotria psychotriifolia,Psychotria psychotriifolia,psychotria psychotriifolia,Psychotria psychotriifolia,FALSE,1,171065,FALSE,,1
Psychotria racemosa,Psychotria racemosa,psychotria racemosa,Psychotria racemosa,FALSE,1,456862,FALSE,,1
Psychotria tenuifolia,Psychotria tenuifolia,psychotria tenuifolia,Psychotria tenuifolia,FALSE,1,852314,FALSE,,1
Pterocarpus rohrii,Pterocarpus rohrii,pterocarpus rohrii,Pterocarpus rohrii,FALSE,1,560578,FALSE,,1
Quassia amara,Quassia amara,quassia amara,Quassia amara,FALSE,1,708243,FALSE,,1
Quararibea asterolepis,Quararibea asterolepis,quararibea asterolepis,Quararibea asterolepis,FALSE,1,651359,FALSE,,1
Randia armata,Randia armata,randia armata,Randia armata,FALSE,1,784318,FALSE,,1
Rhynchosia pyramidalis,Rhynchosia pyramidalis,rhynchosia pyramidalis,Rhynchosia pyramidalis,FALSE,1,3921936,FALSE,,1
Sapium glandulosum,Sapium glandulosum,sapium glandulosum,Sapium glandulosum,FALSE,1,56767,FALSE,,1
Schefflera morototoni,Schefflera morototoni,schefflera morototoni,Schefflera morototoni,FALSE,1,945080,FALSE,,1
Serjania mexicana,Serjania mexicana,serjania mexicana,Serjania mexicana,FALSE,1,449162,FALSE,,2
Serjania trachygona,Serjania trachygona,serjania trachygona,Serjania trachygona,FALSE,1,5747897,FALSE,,1
Simarouba amara,Simarouba amara,simarouba amara,Simarouba amara,FALSE,1,452697,FALSE,,1
Sloanea terniflora,Sloanea terniflora,sloanea terniflora,Sloanea terniflora,FALSE,1,651352,FALSE,,1
Socratea exorrhiza,Socratea exorrhiza,socratea exorrhiza,Socratea exorrhiza,FALSE,1,18255,FALSE,,1
Solanum hayesii,Solanum hayesii,solanum hayesii,Solanum hayesii,FALSE,1,129612,FALSE,sibling_higher,1
Sorocea affinis,Sorocea affinis,sorocea affinis,Sorocea affinis,FALSE,1,93655,FALSE,,1
Spachea membranacea,Spachea membranacea,spachea membranacea,Spachea membranacea,FALSE,1,129614,FALSE,,1
Spondias mombin,Spondias mombin,spondias mombin,Spondias mombin,FALSE,1,317612,FALSE,,1
Spondias radlkoferi,Spondias radlkoferi,spondias radlkoferi,Spondias radlkoferi,FALSE,1,781279,FALSE,,1
Sterculia apetala,Sterculia apetala,sterculia apetala,Sterculia apetala,FALSE,1,961761,FALSE,,1
Stigmaphyllon lindenianum,Stigmaphyllon lindenianum,stigmaphyllon lindenianum,Stigmaphyllon lindenianum,FALSE,1,444584,FALSE,,1
Stizophyllum riparium,Stizophyllum riparium,stizophyllum riparium,Stizophyllum riparium,FALSE,1,752552,FALSE,,1
Strychnos darienensis,Strychnos darienensis,strychnos darienensis,Strychnos darienensis,FALSE,1,426442,FALSE,,1
